Area (sqft),Price ($)
2000,88600
1600,71600
1980,93300
1840,84300
1710,80600
1550,75200
1470,69700
1710,82000
1540,69400
1620,78700
1500,79600
1720,82600
1600,74500
1700,83500
1440,76300
1520,74000
1960,92890
1700,79500
1420,75600
1520,70000
1900,82600
1640,73600
1900,92100
1860,84700
1700,82600
1590,75900
1410,68700
1770,84700
1550,72400
1600,76700
1580,82600
1760,83600
1600,78500
1790,84500
1480,78500
1500,72000
1980,92990
1710,81500
1400,71300
1590,72500
